Purchase Order #,Distribution Center ID,Distribution Center,Date Marked as Shipped,Amount Paid to Vendor,invoice number
8870780314330,620962,K And N Engineering Inc - Riverside CA,20220326,6.12,8082384-01
8870817186409,620962,K And N Engineering Inc - Riverside CA,20220326,5.68,8085278-01
7870776460427,620962,K And N Engineering Inc - Riverside CA,20220326,3.95,8081507-02
9870856098346,620962,K And N Engineering Inc - Riverside CA,20220326,4.85,8089605-01
8870803062413,620962,K And N Engineering Inc - Riverside CA,20220326,3.16,8083689-01
8870828930522,620962,K And N Engineering Inc - Riverside CA,20220326,23.07,8086195-01
8870804490567,620962,K And N Engineering Inc - Riverside CA,20220326,3.79,8083860-01
8870803257675,620962,K And N Engineering Inc - Riverside CA,20220326,16.23,8083655-01
8870790910300,620962,K And N Engineering Inc - Riverside CA,20220326,4.41,8082779-01
7870799689517,620962,K And N Engineering Inc - Riverside CA,20220326,5.32,8082777-01
9870854390104,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8089015-01
8870827999790,620962,K And N Engineering Inc - Riverside CA,20220326,32.96,8085829-01
8870804825018,620962,K And N Engineering Inc - Riverside CA,20220326,4.04,8084043-01
8870817414300,620962,K And N Engineering Inc - Riverside CA,20220326,36.76,8085655-01
9870854508464,620962,K And N Engineering Inc - Riverside CA,20220326,5.78,8089017-01
9870842511798,620962,K And N Engineering Inc - Riverside CA,20220326,31.53,8088111-01
8870839696663,620962,K And N Engineering Inc - Riverside CA,20220326,32.3,8087735-01
9870854333530,620962,K And N Engineering Inc - Riverside CA,20220326,296.42,8088958-01
8870802912638,620962,K And N Engineering Inc - Riverside CA,20220326,5.41,8083532-01
8870790918741,620962,K And N Engineering Inc - Riverside CA,20220326,3.16,8082789-01
8870791058757,620962,K And N Engineering Inc - Riverside CA,20220326,3.23,8082815-01
8870828422513,620962,K And N Engineering Inc - Riverside CA,20220326,54.46,8085948-01
9870843518863,620962,K And N Engineering Inc - Riverside CA,20220326,24.51,8088496-01
8870804655449,620962,K And N Engineering Inc - Riverside CA,20220326,1.92,8084030-01
8870792501326,620962,K And N Engineering Inc - Riverside CA,20220326,27.26,8083398-01
7870819653210,620962,K And N Engineering Inc - Riverside CA,20220326,22.72,8084463-01
8870792256335,620962,K And N Engineering Inc - Riverside CA,20220326,67.4,8083261-01
8870792255890,620962,K And N Engineering Inc - Riverside CA,20220326,33.7,8083481-01
9870831576596,620962,K And N Engineering Inc - Riverside CA,20220326,24.51,8087579-01
8870792407673,620962,K And N Engineering Inc - Riverside CA,20220326,20.42,8083372-01
